date,forecast,type
2024-01-01,568691.0,Actual
2024-02-01,578595.0,Actual
2024-03-01,585030.0,Actual
2024-04-01,589225.0,Actual
2024-05-01,593388.0,Actual
2024-06-01,597948.0,Actual
2024-07-01,599458.0,Actual
2024-08-01,601490.0,Actual
2024-09-01,595575.0,Actual
2024-10-01,588544.0,Actual
2024-11-01,572403.0,Actual
2024-12-01,556248.0,Actual
2025-01-01,569249.0,Actual
2025-02-01,575716.0,Actual
2025-03-01,581736.0,Actual
2025-04-01,584713.0,Actual
2025-05-01,586917.0,Actual
2025-06-01,600390.0,Actual
2025-07-01,614470.0,Actual
2025-08-01,623008.0,Actual
2025-09-01,626521.0,Actual
2025-10-01,626960.0,Actual
2025-11-01,623819.0,Actual
2025-12-01,611987.0,Actual
2026-01-01,631608.0,Actual
2026-02-01,619016.4200000002,Forecast
2026-03-01,620837.1015384616,Forecast
2026-04-01,622657.7830769232,Forecast
2026-05-01,624478.4646153847,Forecast
2026-06-01,626299.1461538463,Forecast
2026-07-01,628119.8276923078,Forecast
