archive_date,total_waiting,critical_waiting
2024-01-01,568691,54804
2024-02-01,578595,54668
2024-03-01,585030,54292
2024-04-01,589225,53850
2024-05-01,593388,52727
2024-06-01,597948,52342
2024-07-01,599458,50505
2024-08-01,601490,50276
2024-09-01,595575,49328
2024-10-01,588544,48516
2024-11-01,572403,45883
2024-12-01,556248,42996
2025-01-01,569249,43908
2025-02-01,575716,44268
2025-03-01,581736,44334
2025-04-01,584713,44984
2025-05-01,586917,44442
2025-06-01,600390,44489
2025-07-01,614470,43599
2025-08-01,623008,44975
2025-09-01,626521,45528
2025-10-01,626960,46714
2025-11-01,623819,45530
2025-12-01,611987,44151
2026-01-01,631608,49373
