"archive_date","adult_child","hospital_name","wait_0_6_months","wait_6_12_months","wait_12_18_months","wait_18_plus_months","total"
"2024-01-25","Adult","Bantry General Hospital",626,218,63,37,944
"2024-01-25","Adult","Beaumont Hospital",24513,9977,910,98,35497
"2024-01-25","Adult","Cavan General Hospital",5588,1652,22,18,7279
"2024-01-25","Adult","Connolly Hospital Blanchardstown",4498,239,0,0,4737
"2024-01-25","Adult","Coombe Women and Infants University Hospital",1370,922,285,60,2636
"2024-01-25","Adult","Cork University Hospital",13986,7351,3463,5222,30021
"2024-01-25","Adult","Cork University Maternity Hospital",2176,28,2,0,2206
"2024-01-25","Adult","Croom Orthopaedic Hospital",2951,1347,255,112,4665
"2024-01-25","Adult","Ennis Hospital",480,354,227,5,1066
"2024-01-25","Child","Wexford General Hospital",577,364,112,0,1053
"2024-01-25","Adult","Galway University Hospitals",20817,9212,4327,7475,41830
"2024-01-25","Adult","Letterkenny University Hospital",7678,2203,1098,1586,12565
"2024-01-25","Adult","Louth County Hospital",1656,429,5,2,2091
"2024-01-25","Adult","Mallow General Hospital",2178,851,228,52,3308
"2024-01-25","Adult","Mater Misericordiae University Hospital",22236,8233,3266,5288,39024
"2024-01-25","Adult","Mayo University Hospital",3716,1371,462,449,5999
"2024-01-25","Adult","Mercy University Hospital",2944,1531,469,697,5642
"2024-01-25","Adult","Midland Regional Hospital Mullingar",4445,1842,992,1148,8426
"2024-01-25","Adult","Midland Regional Hospital Portlaoise",2137,1079,447,423,4086
"2024-01-25","Adult","Midland Regional Hospital Tullamore",8051,2143,228,0,10421
"2024-01-25","Adult","Naas General Hospital",6107,2782,680,159,9727
"2024-01-25","Adult","National Maternity Hospital (Holles Street)",2372,526,7,0,2905
"2024-01-25","Adult","National Orthopaedic Hospital Cappagh",2889,1838,530,139,5396
"2024-01-25","Adult","Nenagh Hospital",324,256,186,24,790
"2024-01-25","Adult","Our Lady of Lourdes Hospital Drogheda",7978,2770,96,52,10896
"2024-01-25","Adult","Our Lady's Hospital Navan",3288,2072,510,358,6228
"2024-01-25","Adult","Portiuncula University Hospital",1840,366,139,121,2466
"2024-01-25","Adult","Roscommon University Hospital",2244,918,250,291,3703
"2024-01-25","Adult","Rotunda Hospital",3522,648,0,0,4170
"2024-01-25","Adult","Royal Victoria Eye and Ear Hospital",5487,2898,1535,2202,12122
"2024-01-25","Adult","Sligo University Hospital",7221,2112,1140,1407,11880
"2024-01-25","Adult","South Infirmary Victoria University Hospital",10725,6310,2645,4132,23811
"2024-01-25","Adult","St. Columcille's Hospital",1902,1430,1111,3404,7848
"2024-01-25","Adult","St. James's Hospital",16083,4857,1320,1312,23572
"2024-01-25","Adult","St. John's Hospital Limerick",464,261,37,3,765
"2024-01-25","Adult","St. Luke's General Hospital Kilkenny",3604,1377,350,109,5440
"2024-01-25","Adult","St. Michael's Hospital",2588,977,364,236,4166
"2024-01-25","Adult","St. Vincent's University Hospital",17124,7172,1945,560,26801
"2024-01-25","Adult","Tallaght University Hospital",14201,8856,4254,4435,31745
"2024-01-25","Adult","Tipperary University Hospital",2315,852,133,50,3351
"2024-01-25","Adult","University Hospital Kerry",6271,2520,648,117,9556
"2024-01-25","Adult","University Hospital Limerick",14095,4579,1297,702,20674
"2024-01-25","Adult","University Hospital Waterford",17757,8863,3548,4915,35083
"2024-01-25","Adult","Wexford General Hospital",2761,874,195,83,3912
"2024-01-25","Child","Beaumont Hospital",45,6,1,0,52
"2024-01-25","Child","Cavan General Hospital",867,194,0,0,1061
"2024-01-25","Child","Children's Health Ireland",18698,11351,5272,4580,39901
"2024-01-25","Child","Coombe Women and Infants University Hospital",29,16,6,0,51
"2024-01-25","Child","Cork University Hospital",2996,1597,412,406,5411
"2024-01-25","Child","Cork University Maternity Hospital",58,1,0,0,59
"2024-01-25","Child","Croom Orthopaedic Hospital",192,8,4,0,204
"2024-01-25","Child","Ennis Hospital",30,7,2,0,39
"2024-01-25","Child","Galway University Hospitals",2889,1347,498,1006,5739
"2024-01-25","Child","Letterkenny University Hospital",999,432,212,276,1919
"2024-01-25","Child","Mallow General Hospital",211,188,69,1,470
"2024-01-25","Child","Mayo University Hospital",692,141,58,47,939
"2024-01-25","Child","Mercy University Hospital",214,67,4,0,285
"2024-01-25","Child","Midland Regional Hospital Mullingar",892,295,125,102,1413
"2024-01-25","Child","Midland Regional Hospital Portlaoise",617,402,123,42,1185
"2024-01-25","Child","Midland Regional Hospital Tullamore",875,391,14,0,1280
"2024-01-25","Child","Naas General Hospital",2,0,0,0,2
"2024-01-25","Child","National Maternity Hospital (Holles Street)",49,20,0,0,69
"2024-01-25","Child","National Orthopaedic Hospital Cappagh",106,102,49,27,284
